numero,nombre,area,poblacion,densidad
1,Centro,522.82,131928.0,252.34
2,Arganzuela,646.22,151965.0,235.16
3,Retiro,546.62,118516.0,216.82
4,Salamanca,539.24,143800.0,266.67
5,Chamartín,917.55,143422.0,156.31
6,Tetuán,537.47,153789.0,286.13
7,Chamberí,467.92,137401.0,293.64
8,Fuencarral-El Pardo,23783.84,238756.0,10.04
9,Moncloa-Aravaca,4653.11,116903.0,25.12
10,Latina,2542.72,233808.0,91.95
11,Carabanchel,1404.83,243998.0,173.68
12,Usera,777.77,134791.0,173.3
13,Puente de Vallecas,1496.86,227595.0,152.05
14,Moratalaz,610.32,94197.0,154.34
15,Ciudad Lineal,1142.57,212529.0,186.01
16,Hortaleza,2741.98,180462.0,65.81
17,Villaverde,2018.76,142608.0,70.64
18,Villa de Vallecas,5146.72,104421.0,20.29
19,Vicálvaro,3526.67,70051.0,19.86
20,San Blas-Canillejas,2229.24,154357.0,69.24
21,Barajas,4192.28,46876.0,11.18
32,TOTAL,60445.51,3182175.0,52.65
